QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
