QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
5,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
5,10,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5,12,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,13,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,13,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,7,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,10,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
8,12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
